Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
239,Jake LaRavia,"SF,PF",23.8,LAL,66,,,0.474,0.678,0.9,,6.9,3.9,2.4,0.9,0.3,1.3,0
240,Quinten Post,C,25.4,GS,42,,,0.449,0.781,1.7,,8.1,3.5,1.3,0.4,0.4,0.8,0
241,Mouhamed Gueye,"PF,C",22.8,ATL,33,,,0.421,0.764,0.6,,6,4.2,0.8,0.8,1,0.5,0
242,Kris Murray,"SF,PF",25,POR,69,,,0.421,0.458,0.4,,4.2,2.6,1,0.5,0.2,0.6,0
243,Ziaire Williams,"SG,SF",23.9,BKN,63,,,0.412,0.821,1.6,,10,4.6,1.3,1,0.4,1.1,0
484,James Nnaji,C,21,FA,,,,,,,,,,,,,,1
245,GG Jackson II,"SF,PF",20.7,MEM,29,,,0.372,0.725,1.1,,7.2,3.2,1,0.4,0.2,1.1,0
246,Brook Lopez,C,37.4,LAC,80,,,0.509,0.827,1.7,,13,5,1.8,0.6,1.9,1.1,0
247,Jordan Hawkins,SG,23.3,NO,56,,,0.373,0.817,2,,10.8,2.8,1.2,0.5,0.4,1,0
248,Klay Thompson,"SG,SF",35.5,DAL,72,,,0.411,0.903,3,,14,3.4,2,0.7,0.4,1.2,0
249,Robert Williams III,C,27.8,POR,20,,,0.641,0.882,0.1,,5.8,5.9,1.1,0.7,1.7,0.9,0
250,De'Anthony Melton,"PG,SG",27.2,BKN,6,,,0.408,0.624,2.2,,10.3,3.3,2.8,1.2,0.3,1.7,0
251,Corey Kispert,"SG,SF",26.5,WAS,61,,,0.451,0.854,2,,11.6,3,1.7,0.4,0.2,1,0
252,Jaden Hardy,"PG,SG",23.1,DAL,57,,,0.436,0.695,1.3,,8.7,1.6,1.4,0.5,0.1,1.4,0
253,Thomas Bryant,C,28,IND,66,,,0.508,0.856,0.7,,6.5,3.8,0.8,0.4,0.6,0.5,0
244,Rasheer Fleming,ALL,21.1,PHO,,,,,,,,,,,,,,1
612,Melvin Ajinca,SF,21.1,DAL,,,,,,,,,,,,,,1
389,Juan Nunez,PG,21.2,SA,,,,,,,,,,,,,,1
254,Danny Wolf,ALL,21.3,BKN,,,,,,,,,,,,,,1
258,Grayson Allen,"PG,SG,SF",29.9,PHO,64,,,0.448,0.815,2.3,,10.6,3,2.1,0.8,0.3,1.2,0
259,Keldon Johnson,"SG,SF,PF",25.9,SA,77,,,0.482,0.774,1.1,,12.7,4.8,1.6,0.6,0.3,1,0
260,Dillon Brooks,"SG,SF,PF",29.6,PHO,75,,,0.429,0.81,2.5,,14,3.7,1.7,0.8,0.2,1,0
261,Max Strus,"SG,SF",29.4,CLE,50,,,0.442,0.824,2.3,,9.4,4.3,3.2,0.5,0.2,1.1,0
262,Ben Sheppard,"SG,SF",24.1,IND,63,,,0.417,0.884,1.1,,5.3,2.8,1.3,0.6,0.2,0.3,0
263,Luka Garza,C,26.6,BOS,38,,,0.496,0.685,0.3,,3.6,1.4,0.3,0.2,0.1,0.3,0
264,Isaiah Joe,"PG,SG",26.1,OKC,74,,,0.44,0.816,2.6,,10.2,2.6,1.6,0.6,0.1,0.5,0
265,Bruce Brown,"SG,SF",29,DEN,41,,,0.42,0.811,0.7,,8.3,4,2,0.8,0.2,1,0
266,Marcus Smart,"PG,SG",31.4,LAL,34,,,0.393,0.761,1.4,,9,2.1,3.2,1.1,0.3,1.6,0
267,Jusuf Nurkic,C,31,UTA,51,,,0.477,0.665,0.6,,8.9,7.8,2.3,0.8,0.7,1.9,0
268,Naji Marshall,"SG,SF,PF",27.6,DAL,69,,,0.509,0.81,0.9,,13.2,4.8,3,1,0.2,1.6,0
269,Caris LeVert,"SG,SF",31,DET,64,,,0.468,0.711,1.7,,12.1,3.2,3.4,0.9,0.5,1.2,0
270,Tristan Vukcevic,C,22.4,WAS,35,,,0.496,0.78,1.1,,9.4,3.7,1.1,0.3,0.7,1.2,0
